author,github,title,slug
Jiahang Luo,https://github.com/ralphluo11/CAPP30239Static.git,Democracy: Progress and Pillars,democracy-progress-and-pillars
Chema Galvez,https://github.com/ChemmZz/Static-Visualization-Project/,Made in China: Installed everywhere,made-in-china-solar
Yufei Mao,https://github.com/YufeiM28/CAPP_Static_Project,Tracking Educational Trends in Chicago Public High Schools,ed-trends-chicago
Andrés Felipe Camacho,https://github.com/anfelipecb/climate-development,Excesive heat and early childhood development,excessive-heat
Sarah Hussain,https://github.com/sthussain98/capp-30239-static,Financial Access in South Asia,fin-access
Daniela Ayala,https://github.com/Dayacha/migration_datavis,Beyond Borders: Economic and Social Drivers of Migration in Latin America and the Caribbean,beyond-borders
Ryota Shimizu,https://github.com/rshimizu63/Static-Visualization-rshimizu,Inefficiency in the distribution of medical resources in Japan,medical-resources-japan
Maria Jose Reyes,https://github.com/mjreyes13/Data-Vizualizacion-CAPP-30239/,Geopolitical Risk & Metals,risk-metals
Alexandrea Harriott,https://github.com/a-harriott/uchicago-capp30239-static/tree/main,Investigating New York School Districts' Characteristics, Achievements, and Investments,nys-districts
Raghav Mehrotra,https://github.com/raghavmehrotra/election-dataviz,Examining Representation in India's Parliamentary Elections,representation-india
